province,qtr,deaths,hosp,unemp_q,avg_rate_q,end_rate_q,shock_bp_q,shock_50bp_q,shock_50bp_lag1,shock_50bp_lag2
Alberta,2016Q1,137,228,8,0.5,0.5,NA,0,NA,NA
Alberta,2016Q2,140,238,8.066666666666666,0.5,0.5,0,0,0,NA
Alberta,2016Q3,159,239,8.733333333333333,0.5,0.5,0,0,0,0
Alberta,2016Q4,166,220,8.066666666666666,0.5,0.5,0,0,0,0
Alberta,2017Q1,162,228,8.9,0.5,0.5,0,0,0,0
Alberta,2017Q2,182,234,8.166666666666666,0.5,0.5,0,0,0,0
Alberta,2017Q3,183,250,8.133333333333333,0.7923076923076923,1,0.5,1,0,0
Alberta,2017Q4,217,221,6.8999999999999995,1,1,0,0,1,0
Alberta,2018Q1,194,199,6.733333333333333,1.2038461538461538,1.25,0.25,0,0,1
Alberta,2018Q2,206,228,6.466666666666666,1.25,1.25,0,0,0,0
Alberta,2018Q3,210,271,6.8999999999999995,1.4730769230769232,1.5,0.25,0,0,0
Alberta,2018Q4,195,218,6.033333333333334,1.6856060606060606,1.75,0.25,0,0,0
Alberta,2019Q1,162,170,7.266666666666666,1.75,1.75,0,0,0,0
Alberta,2019Q2,187,173,6.566666666666666,1.75,1.75,0,0,0,0
Alberta,2019Q3,152,214,7.066666666666666,1.75,1.75,0,0,0,0
Alberta,2019Q4,125,150,6.466666666666666,1.75,1.75,0,0,0,0
Alberta,2020Q1,161,188,8.299999999999999,1.4807692307692308,0.25,-1.5,0,0,0
Alberta,2020Q2,320,225,14.7,0.25,0.25,0,0,0,0
Alberta,2020Q3,363,235,12.3,0.25,0.25,0,0,0,0
Alberta,2020Q4,348,240,10.3,0.25,0.25,0,0,0,0
Alberta,2021Q1,364,210,10.633333333333333,0.25,0.25,0,0,0,0
Alberta,2021Q2,366,271,8.866666666666667,0.25,0.25,0,0,0,0
Alberta,2021Q3,405,353,8.133333333333333,0.25,0.25,0,0,0,0
Alberta,2021Q4,507,306,6.766666666666667,0.25,0.25,0,0,0,0
Alberta,2022Q1,462,267,7.066666666666666,0.3333333333333333,0.5,0.25,0,0,0
Alberta,2022Q2,354,224,5.666666666666667,1.0923076923076922,1.5,1,1,0,0
Alberta,2022Q3,319,203,5.466666666666666,2.546875,3.25,1.75,1,1,0
Alberta,2022Q4,388,198,5.2,3.734375,4.25,1,1,1,1
Alberta,2023Q1,442,285,6.3,4.43359375,4.5,0.25,0,1,1
Alberta,2023Q2,510,334,5.8,4.565384615384615,4.75,0.25,0,0,1
Alberta,2023Q3,474,333,5.8999999999999995,4.969230769230769,5,0.25,0,0,0
Alberta,2023Q4,442,272,5.533333333333334,5,5,0,0,0,0
Alberta,2024Q1,370,219,6.7,5,5,0,0,0,0
Alberta,2024Q2,256,219,7.233333333333333,4.934615384615385,4.75,-0.25,0,0,0
