qtr,avg_rate_q,end_rate_q,shock_bp_q,shock_50bp_q,shock_50bp_lag1,shock_50bp_lag2
2016Q1,0.5,0.5,,0,,
2016Q2,0.5,0.5,0.0,0,0.0,
2016Q3,0.5,0.5,0.0,0,0.0,0.0
2016Q4,0.5,0.5,0.0,0,0.0,0.0
2017Q1,0.5,0.5,0.0,0,0.0,0.0
2017Q2,0.5,0.5,0.0,0,0.0,0.0
2017Q3,0.7923076923076923,1.0,0.5,1,0.0,0.0
2017Q4,1.0,1.0,0.0,0,1.0,0.0
2018Q1,1.2038461538461538,1.25,0.25,0,0.0,1.0
2018Q2,1.25,1.25,0.0,0,0.0,0.0
2018Q3,1.4730769230769232,1.5,0.25,0,0.0,0.0
2018Q4,1.6856060606060606,1.75,0.25,0,0.0,0.0
2019Q1,1.75,1.75,0.0,0,0.0,0.0
2019Q2,1.75,1.75,0.0,0,0.0,0.0
2019Q3,1.75,1.75,0.0,0,0.0,0.0
2019Q4,1.75,1.75,0.0,0,0.0,0.0
2020Q1,1.4807692307692308,0.25,-1.5,0,0.0,0.0
2020Q2,0.25,0.25,0.0,0,0.0,0.0
2020Q3,0.25,0.25,0.0,0,0.0,0.0
2020Q4,0.25,0.25,0.0,0,0.0,0.0
2021Q1,0.25,0.25,0.0,0,0.0,0.0
2021Q2,0.25,0.25,0.0,0,0.0,0.0
2021Q3,0.25,0.25,0.0,0,0.0,0.0
2021Q4,0.25,0.25,0.0,0,0.0,0.0
2022Q1,0.3333333333333333,0.5,0.25,0,0.0,0.0
2022Q2,1.0923076923076922,1.5,1.0,1,0.0,0.0
2022Q3,2.546875,3.25,1.75,1,1.0,0.0
2022Q4,3.734375,4.25,1.0,1,1.0,1.0
2023Q1,4.43359375,4.5,0.25,0,1.0,1.0
2023Q2,4.565384615384615,4.75,0.25,0,0.0,1.0
2023Q3,4.969230769230769,5.0,0.25,0,0.0,0.0
2023Q4,5.0,5.0,0.0,0,0.0,0.0
2024Q1,5.0,5.0,0.0,0,0.0,0.0
2024Q2,4.934615384615385,4.75,-0.25,0,0.0,0.0
2024Q3,4.5,4.25,-0.5,0,0.0,0.0
2024Q4,3.772727272727273,3.25,-1.0,0,0.0,0.0
2025Q1,3.03125,2.75,-0.5,0,0.0,0.0
2025Q2,2.75,2.75,0.0,0,0.0,0.0
